time,voltage,current,power
0.060,0.290,0.5460,0.158
0.336,0.290,0.5460,0.158
0.609,0.290,0.5460,0.158
0.879,0.290,0.5460,0.158
1.146,0.290,0.5460,0.158
1.410,0.290,0.5460,0.158
1.684,0.290,0.5460,0.158
1.951,0.290,0.5460,0.158
2.218,0.290,0.5460,0.158
2.484,0.290,0.5460,0.158
2.765,0.290,0.5460,0.158
3.031,0.290,0.5460,0.158
3.297,0.290,0.5460,0.158
3.570,0.290,0.5460,0.158
3.833,0.290,0.5460,0.158
4.114,0.290,0.5460,0.158
4.382,0.290,0.5460,0.158
4.648,0.290,0.5460,0.158
4.911,0.290,0.5460,0.158
5.197,0.290,0.5460,0.158
5.466,0.290,0.5460,0.158
5.734,0.290,0.5460,0.158
6.013,0.290,0.5460,0.158
6.281,0.290,0.5460,0.158
6.545,0.290,0.5460,0.158
6.819,0.290,0.5460,0.158
7.094,0.290,0.5460,0.158
7.356,0.290,0.5460,0.158
7.634,0.290,0.5460,0.158
7.896,0.290,0.5460,0.158
time,voltage,current,power
0.059,0.290,0.5460,0.158
0.360,0.290,0.5460,0.158
0.627,0.290,0.5460,0.158
0.892,0.290,0.5460,0.158
1.154,0.290,0.5460,0.158
1.443,0.290,0.5460,0.158
1.717,0.290,0.5460,0.158
1.987,0.290,0.5460,0.158
2.261,0.290,0.5460,0.158
2.529,0.290,0.5460,0.158
2.797,0.290,0.5460,0.158
3.059,0.290,0.5460,0.158
3.344,0.290,0.5460,0.158
3.610,0.290,0.5460,0.158
3.883,0.290,0.5460,0.158
4.148,0.290,0.5460,0.158
4.427,0.290,0.5460,0.158
4.694,0.290,0.5460,0.158
4.959,0.290,0.5460,0.158
5.224,0.290,0.5460,0.158
5.487,0.290,0.5460,0.158
5.775,0.290,0.5460,0.158
6.037,0.290,0.5460,0.158
6.310,0.290,0.5460,0.158
6.577,0.290,0.5460,0.158
6.857,0.290,0.5460,0.158
7.120,0.290,0.5460,0.158
7.386,0.290,0.5460,0.158
7.651,0.290,0.5460,0.158
7.939,0.290,0.5460,0.158
8.208,0.290,0.5460,0.158
8.476,0.290,0.5460,0.158
8.737,0.290,0.5460,0.158
9.022,0.290,0.5460,0.158
9.286,0.290,0.5460,0.158
9.553,0.290,0.5460,0.158
9.839,0.290,0.5460,0.158
10.106,0.290,0.5460,0.158
10.371,0.290,0.5460,0.158
10.636,0.290,0.5460,0.158
10.906,0.290,0.5460,0.158
11.189,0.290,0.5460,0.158
11.466,0.290,0.5460,0.158
11.741,0.290,0.5460,0.158
12.007,0.290,0.5460,0.158
12.271,0.290,0.5460,0.158
12.533,0.290,0.5460,0.158
12.802,0.290,0.5460,0.158
13.068,0.290,0.5460,0.158
13.353,0.290,0.5460,0.158
13.628,0.290,0.5460,0.158
13.893,0.290,0.5460,0.158
14.171,0.290,0.5460,0.158
14.440,0.290,0.5460,0.158
14.706,0.290,0.5460,0.158
14.980,0.290,0.5460,0.158
15.252,0.290,0.5460,0.158
15.527,0.290,0.5460,0.158
15.794,0.290,0.5460,0.158
16.067,0.290,0.5460,0.158
16.335,0.290,0.5460,0.158
16.603,0.290,0.5460,0.158
16.876,0.290,0.5460,0.158
17.140,0.290,0.5460,0.158
17.403,0.290,0.5460,0.158
17.683,0.290,0.5460,0.158
17.951,0.290,0.5460,0.158
18.213,0.290,0.5460,0.158
18.479,0.290,0.5460,0.158
18.766,0.290,0.5460,0.158
19.039,0.290,0.5460,0.158
19.324,0.290,0.5460,0.158
19.594,0.290,0.5460,0.158
19.867,0.290,0.5460,0.158
20.136,0.290,0.5460,0.158
20.400,0.290,0.5460,0.158
20.682,0.290,0.5460,0.158
20.948,0.290,0.5460,0.158
21.222,0.290,0.5460,0.158
21.499,0.290,0.5460,0.158
21.765,0.290,0.5460,0.158
22.046,0.290,0.5460,0.158
22.315,0.290,0.5460,0.158
22.590,0.290,0.5460,0.158
22.853,0.290,0.5470,0.158
23.111,0.290,0.5460,0.158
23.387,0.290,0.5460,0.158
23.657,0.290,0.5460,0.158
23.931,0.290,0.5460,0.158
24.191,0.290,0.5460,0.158
24.465,0.290,0.5460,0.158
24.728,0.290,0.5460,0.158
24.995,0.290,0.5460,0.158
25.257,0.290,0.5460,0.158
25.520,0.290,0.5460,0.158
25.794,0.290,0.5460,0.158
26.064,0.290,0.5460,0.158
26.342,0.290,0.5460,0.158
26.616,0.290,0.5460,0.158
26.879,0.290,0.5460,0.158
27.164,0.290,0.5460,0.158
27.427,0.290,0.5460,0.158
27.705,0.290,0.5460,0.158
27.975,0.290,0.5460,0.158
28.247,0.290,0.5460,0.158
28.510,0.290,0.5460,0.158
28.778,0.290,0.5460,0.158
29.051,0.290,0.5460,0.158
29.325,0.290,0.5460,0.158
29.591,0.290,0.5460,0.158
29.864,0.290,0.5460,0.158
30.131,0.290,0.5460,0.158
30.408,0.290,0.5460,0.158
30.674,0.290,0.5460,0.158
30.938,0.290,0.5460,0.158
31.209,0.290,0.5460,0.158
31.490,0.290,0.5460,0.158
31.751,0.290,0.5460,0.158
32.037,0.290,0.5460,0.158
32.309,0.290,0.5460,0.158
32.574,0.290,0.5460,0.158
32.845,0.290,0.5460,0.158
33.103,0.290,0.5460,0.158
33.372,0.290,0.5460,0.158
33.636,0.290,0.5460,0.158
33.920,0.290,0.5460,0.158
34.186,0.290,0.5460,0.158
34.456,0.290,0.5460,0.158
34.746,0.290,0.5460,0.158
35.012,0.290,0.5460,0.158
35.276,0.290,0.5460,0.158
35.559,0.290,0.5460,0.158
35.826,0.290,0.5460,0.158
36.078,0.290,0.5460,0.158
36.355,0.290,0.5460,0.158
36.623,0.290,0.5460,0.158
36.900,0.290,0.5460,0.158
37.167,0.290,0.5460,0.158
37.438,0.290,0.5460,0.158
37.712,0.290,0.5460,0.158
37.981,0.290,0.5460,0.158
38.254,0.290,0.5460,0.158
38.529,0.290,0.5460,0.158
38.807,0.290,0.5460,0.158
39.066,0.290,0.5460,0.158
39.347,0.290,0.5460,0.158
39.609,0.290,0.5460,0.158
39.887,0.290,0.5460,0.158
40.157,0.290,0.5460,0.158
40.430,0.290,0.5460,0.158
40.710,0.290,0.5460,0.158
40.989,0.290,0.5460,0.158
41.254,0.290,0.5460,0.158
41.529,0.290,0.5460,0.158
41.819,0.290,0.5460,0.158
42.086,0.290,0.5460,0.158
42.353,0.290,0.5460,0.158
42.613,0.290,0.5460,0.158
42.885,0.290,0.5460,0.158
43.161,0.290,0.5460,0.158
43.428,0.290,0.5460,0.158
43.696,0.290,0.5460,0.158
43.973,0.290,0.5460,0.158
44.244,0.290,0.5460,0.158
44.517,0.290,0.5460,0.158
44.797,0.290,0.5460,0.158
45.061,0.290,0.5460,0.158
45.340,0.290,0.5460,0.158
45.621,0.290,0.5460,0.158
45.890,0.290,0.5460,0.158
46.184,0.290,0.5460,0.158
46.464,0.290,0.5460,0.158
46.733,0.290,0.5460,0.158
47.012,0.290,0.5460,0.158
47.276,0.290,0.5460,0.158
47.554,0.290,0.5460,0.158
47.842,0.290,0.5460,0.158
48.102,0.290,0.5460,0.158
48.373,0.290,0.5460,0.158
48.653,0.290,0.5460,0.158
48.932,0.290,0.5460,0.158
49.192,0.290,0.5460,0.158
49.462,0.290,0.5460,0.158
49.742,0.290,0.5460,0.158
50.012,0.290,0.5460,0.158
50.272,0.290,0.5460,0.158
50.558,0.290,0.5460,0.158
50.827,0.290,0.5460,0.158
51.097,0.290,0.5460,0.158
51.365,0.290,0.5460,0.158
51.638,0.290,0.5460,0.158
51.903,0.290,0.5460,0.158
52.180,0.290,0.5460,0.158
52.445,0.290,0.5460,0.158
52.714,0.290,0.5460,0.158
52.984,0.290,0.5460,0.158
53.247,0.290,0.5460,0.158
53.512,0.290,0.5460,0.158
53.777,0.290,0.5460,0.158
54.039,0.290,0.5460,0.158
54.314,0.290,0.5460,0.158
54.585,0.290,0.5460,0.158
54.845,0.290,0.5460,0.158
55.115,0.290,0.5460,0.158
55.372,0.290,0.5460,0.158
55.649,0.290,0.5460,0.158
55.933,0.290,0.5460,0.158
56.195,0.290,0.5460,0.158
56.461,0.290,0.5460,0.158
56.750,0.290,0.5460,0.158
57.015,0.290,0.5460,0.158
57.288,0.290,0.5460,0.158
57.560,0.290,0.5460,0.158
57.831,0.290,0.5460,0.158
58.098,0.290,0.5460,0.158
58.362,0.290,0.5460,0.158
58.627,0.290,0.5460,0.158
58.890,0.290,0.5460,0.158
59.174,0.290,0.5460,0.158
59.440,0.290,0.5460,0.158
