2021-01-11 22:33:49
time,voltage,current,power
0.000,0.300,0.0000,0.000
0.500,0.300,0.0260,0.007
1.000,0.300,0.0550,0.016
1.500,0.300,0.0840,0.025
2.000,0.300,0.1130,0.033
2.500,0.300,0.1410,0.042
3.000,0.290,0.1710,0.049
3.500,0.290,0.1990,0.057
4.000,0.290,0.2280,0.066
4.500,0.290,0.2580,0.074
5.000,0.290,0.2860,0.082
5.500,0.290,0.3160,0.091
6.000,0.290,0.3450,0.100
6.500,0.290,0.3730,0.108
7.000,0.290,0.4030,0.116
7.500,0.290,0.4320,0.125
8.000,0.290,0.4600,0.133
8.500,0.290,0.4900,0.142
9.000,0.290,0.5180,0.150
9.500,0.290,0.5470,0.158
10.000,0.290,0.5760,0.167
10.500,0.290,0.6060,0.175
11.000,0.290,0.6350,0.184
11.500,0.290,0.6640,0.192
12.000,0.280,0.6930,0.194
12.500,0.280,0.7220,0.202
13.000,0.280,0.7510,0.210
13.500,0.280,0.7800,0.218
14.000,0.280,0.8090,0.226
14.500,0.280,0.8380,0.234
15.000,0.280,0.8670,0.242
15.500,0.280,0.8960,0.250
16.000,0.280,0.9250,0.259
16.500,0.280,0.9540,0.267
17.000,0.280,0.9830,0.275
17.500,0.280,1.0120,0.283
18.000,0.280,1.0420,0.291
18.500,0.280,1.0700,0.299
19.000,0.280,1.1000,0.308
19.500,0.280,1.1280,0.315
20.000,0.280,1.1570,0.323
20.500,0.280,1.1870,0.332
21.000,0.280,1.2160,0.340
21.500,0.270,1.2450,0.336
22.000,0.270,1.2740,0.343
22.500,0.270,1.3030,0.351
23.000,0.270,1.3320,0.359
23.500,0.270,1.3610,0.367
24.000,0.270,1.3900,0.375
24.500,0.270,1.4190,0.383
25.000,0.270,1.4480,0.390
2021-01-11 22:54:34
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.0230,0.002
1.000,0.100,0.0480,0.004
1.500,0.100,0.0730,0.007
2.000,0.100,0.0980,0.009
2.500,0.100,0.1230,0.012
3.000,0.100,0.1480,0.014
3.500,0.100,0.1730,0.017
4.000,0.090,0.1980,0.017
4.500,0.090,0.2230,0.020
5.000,0.090,0.2480,0.022
5.500,0.090,0.2730,0.024
6.000,0.090,0.2980,0.026
6.500,0.090,0.3220,0.028
7.000,0.090,0.3480,0.031
7.500,0.090,0.3730,0.033
8.000,0.090,0.3980,0.035
8.500,0.090,0.4230,0.038
9.000,0.090,0.4480,0.040
9.500,0.090,0.4720,0.042
10.000,0.090,0.4980,0.044
10.500,0.090,0.5230,0.047
11.000,0.090,0.5480,0.049
11.500,0.090,0.5720,0.051
12.000,0.090,0.5990,0.053
12.500,0.090,0.6240,0.056
13.000,0.090,0.6480,0.058
13.500,0.090,0.6740,0.060
14.000,0.090,0.6980,0.062
14.500,0.080,0.7230,0.057
15.000,0.080,0.7480,0.059
15.500,0.080,0.7740,0.061
16.000,0.080,0.7980,0.063
16.500,0.080,0.8240,0.065
17.000,0.080,0.8490,0.067
17.500,0.080,0.8730,0.069
18.000,0.080,0.8980,0.071
18.500,0.080,0.9230,0.073
19.000,0.080,0.9480,0.075
19.500,0.080,0.9730,0.077
20.000,0.080,0.9990,0.079
20.500,0.080,1.0230,0.081
21.000,0.080,1.0480,0.083
21.500,0.080,1.0730,0.085
22.000,0.080,1.0990,0.087
22.500,0.080,1.1230,0.089
23.000,0.080,1.1490,0.091
23.500,0.080,1.1740,0.093
24.000,0.080,1.1990,0.095
24.500,0.080,1.2240,0.097
25.000,0.080,1.2500,0.100
2021-01-11 23:09:30
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.1340,0.013
1.000,0.090,0.2680,0.024
1.500,0.090,0.4030,0.036
2.000,0.090,0.5380,0.048
2.500,0.090,0.6740,0.060
3.000,0.080,0.8090,0.064
3.500,0.080,0.9430,0.075
4.000,0.080,1.0780,0.086
4.500,0.080,1.2140,0.097
5.000,0.070,1.3500,0.094
2021-01-11 23:11:19
time,voltage,current,power
0.000,0.690,0.0000,0.000
0.500,0.690,0.4080,0.281
1.000,0.680,0.8190,0.556
1.500,0.670,1.2290,0.823
2.000,0.660,1.6400,1.082
2.500,0.660,2.0510,1.353
2021-01-11 23:19:00
time,voltage,current,power
0.000,0.000,0.0000,0.000
0.500,0.000,0.0000,0.000
1.000,0.000,0.0000,0.000
1.500,0.000,0.0000,0.000
2.000,0.000,0.0000,0.000
2.500,0.000,0.0000,0.000
2021-01-11 23:19:32
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.0770,0.007
1.000,0.100,0.1570,0.015
1.500,0.090,0.2360,0.021
2.000,0.090,0.3160,0.028
2.500,0.090,0.3960,0.035
2021-01-11 23:26:55
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.2860,0.025
1.000,0.090,0.5760,0.051
1.500,0.080,0.8670,0.069
2.000,0.080,1.1570,0.092
2.500,0.070,1.4480,0.101
2021-01-11 23:28:26
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.4360,0.039
1.000,0.080,0.8770,0.070
1.500,0.070,1.3180,0.092
2.000,0.070,1.7580,0.123
2.500,0.060,1.9370,0.116
2021-01-11 23:28:49
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.0870,0.008
1.000,0.100,0.1760,0.017
1.500,0.090,0.2670,0.024
2.000,0.090,0.3570,0.032
2.500,0.090,0.4470,0.040
2021-01-11 23:30:34
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.4470,0.040
1.000,0.080,0.8970,0.071
1.500,0.090,0.7110,0.063
2.000,0.080,1.7980,0.143
2.500,0.070,1.9370,0.135
2021-01-11 23:30:36
time,voltage,current,power
0.000,0.070,1.3470,0.094
0.500,0.070,1.7980,0.125
1.000,0.060,1.9370,0.116
1.500,0.070,1.3470,0.094
2021-01-11 23:31:41
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.7370,0.066
1.000,0.070,1.4780,0.103
1.500,0.060,1.9380,0.116
2.000,0.060,1.9380,0.116
2.500,0.060,1.9380,0.116
2021-01-11 23:31:49
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.080,0.7370,0.058
1.000,0.070,1.4780,0.103
1.500,0.060,1.9380,0.116
2.000,0.060,1.9380,0.116
2.500,0.060,1.9380,0.116
2021-01-11 23:39:14
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.2860,0.025
1.000,0.090,0.5760,0.051
1.500,0.080,0.8680,0.069
2.000,0.080,1.1570,0.092
2.500,0.070,1.4480,0.101
2021-01-11 23:39:26
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.5060,0.045
1.000,0.080,1.0170,0.081
1.500,0.070,1.5280,0.106
2.000,0.060,1.9370,0.116
2.500,0.060,1.9380,0.116
2021-01-11 23:40:37
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.0960,0.009
1.000,0.090,0.1970,0.017
1.500,0.090,0.2970,0.026
2.000,0.090,0.3960,0.035
2.500,0.090,0.4960,0.044
2021-01-11 23:41:06
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.2570,0.023
1.000,0.090,0.5160,0.046
1.500,0.080,0.7770,0.062
2.000,0.080,1.0370,0.082
2.500,0.070,1.2980,0.090
2021-01-11 23:42:40
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.0000,0.000
1.000,0.100,0.0000,0.000
1.500,0.100,0.0000,0.000
2.000,0.100,0.0000,0.000
2.500,0.100,0.0000,0.000
3.000,0.100,0.0000,0.000
3.500,0.100,0.0000,0.000
4.000,0.100,0.0000,0.000
2021-01-11 23:43:19
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.1660,0.014
1.000,0.090,0.3350,0.030
1.500,0.090,0.5030,0.045
2.000,0.090,0.6720,0.060
2.500,0.080,0.8410,0.067
3.000,0.080,1.0100,0.080
3.500,0.080,1.1790,0.094
4.000,0.070,1.3480,0.094
2021-01-11 23:43:55
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.0000,0.000
1.000,0.090,0.3600,0.032
1.500,0.090,0.5410,0.048
2.000,0.090,0.7220,0.064
2.500,0.100,0.1780,0.017
3.000,0.090,0.3600,0.032
3.500,0.090,0.5410,0.048
4.000,0.090,0.7220,0.064
2021-01-11 23:43:58
time,voltage,current,power
0.000,0.080,0.8860,0.070
0.500,0.080,0.1780,0.014
1.000,0.090,0.3600,0.032
1.500,0.070,1.3210,0.092
2.000,0.080,0.7220,0.057
2.500,0.080,0.9030,0.072
3.000,0.080,1.0850,0.086
3.500,0.070,1.2660,0.088
4.000,0.070,1.4480,0.101
2021-01-11 23:44:14
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.090,0.1970,0.017
1.000,0.090,0.3960,0.035
1.500,0.090,0.5970,0.053
2.000,0.080,0.7970,0.063
2.500,0.080,0.9980,0.079
3.000,0.080,1.1980,0.095
3.500,0.070,1.3980,0.097
4.000,0.070,1.5980,0.111
2021-01-11 23:47:50
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.1970,0.019
1.000,0.090,0.3960,0.035
1.500,0.090,0.5970,0.053
2.000,0.080,0.7970,0.063
2.500,0.080,0.9980,0.079
3.000,0.080,1.1980,0.095
3.500,0.070,1.3980,0.097
4.000,0.070,1.5980,0.111
2021-01-12 00:01:42
time,voltage,current,power
0.000,0.100,0.0000,0.000
0.500,0.100,0.1280,0.012
1.000,0.090,0.2590,0.023
1.500,0.090,0.3900,0.035
2.000,0.090,0.5220,0.046
2.500,0.090,0.6530,0.058
3.000,0.080,0.7840,0.062
3.500,0.080,0.9160,0.073
4.000,0.080,1.0470,0.083
2021-01-12 00:34:30
time,voltage,current,power
0.000,0.270,0.0000,0.000
0.500,0.260,0.1240,0.032
1.000,0.260,0.2510,0.065
1.500,0.260,0.3790,0.098
2.000,0.250,0.5070,0.126
2.500,0.250,0.6350,0.158
3.000,0.250,0.7630,0.190
3.500,0.250,0.8910,0.222
4.000,0.240,1.0190,0.244
